product_id,product_title,rating,summary,review,combined_text,review_length,category
ACCEVQZABYWJHRHF,BoAt BassHeads 100 Wired Headset,4.0,Wonderful,ONE OF THE BEST HEADSET AT THIS PRICE👌👌GOOD SOUND QUALITY AND BUILD QUALITY IS ALSO AWESOME. BUT BASS IS NOT AT THAT GREAT BUT EVEN GREAT AT THIS PRICE SEGMENT. GO FOR IT GUYS. ALSO IT IS BEST FOR PUBG MOBILE.AWESOME,ONE OF THE BEST HEADSET AT THIS PRICE👌👌GOOD SOUND QUALITY AND BUILD QUALITY IS ALSO AWESOME. BUT BASS IS NOT AT THAT GREAT BUT EVEN GREAT AT THIS PRICE SEGMENT. GO FOR IT GUYS. ALSO IT IS BEST FOR PUBG MOBILE.AWESOME Wonderful,41,BoAt
ACCFSKBJYWZKXGCP,U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5.0,Just wow!,U&i Titanic quality is awesome and looks are pretty sober the sound quality is also good bass lovers will love it  I had a minor audio very clear and awesome voice quality long hour battery back up 8 hours very awesome neck band,U&i Titanic quality is awesome and looks are pretty sober the sound quality is also good bass lovers will love it  I had a minor audio very clear and awesome voice quality long hour battery back up 8 hours very awesome neck band Just wow!,43,U&I
ACCFR3Q77R6RRGAC,OnePlus Bullets Wireless Z Bluetooth Headset,5.0,Worth every penny,1)Sound Quality Is Best.2)Bass superb but less than OnePlus bullet 2.3) Design and Build quality is best.4) Battery Back-up is very very Awesome. Standby time is 8-9 hour in 10 min charging..5) Full charge backup 19-20 hours really good and Best..6) Latency is Awesome i am tested this in Call of Duty..7) Noise cancellation is in Average mode ..8) Full charge in 25-30 min..In 10 min 50-60 % charge.9) connectivity is Awesome working in OnePlus...Other devices take time 5-10 se...,1)Sound Quality Is Best.2)Bass superb but less than OnePlus bullet 2.3) Design and Build quality is best.4) Battery Back-up is very very Awesome. Standby time is 8-9 hour in 10 min charging..5) Full charge backup 19-20 hours really good and Best..6) Latency is Awesome i am tested this in Call of Duty..7) Noise cancellation is in Average mode ..8) Full charge in 25-30 min..In 10 min 50-60 % charge.9) connectivity is Awesome working in OnePlus...Other devices take time 5-10 se... Worth every penny,80,OnePlus
ACCFSDGXX3S6DVBG,BoAt Airdopes 131 Bluetooth Headset,4.0,Nice product,"This is good only... If your looking for fast beat with high bass, then don't go with this product. Else go for it and it will be worth for amount.","This is good only... If your looking for fast beat with high bass, then don't go with this product. Else go for it and it will be worth for amount. Nice product",30,BoAt
ACCFSDGXX3S6DVBG,BoAt Airdopes 131 Bluetooth Headset,5.0,Fabulous!,"It's nice overall mainly because of the low price. It has pressable button towards the outer part by pressing which one can receive/reject call, play/pause music. The bass is not upto the mark. Call quality is nice. But what else you need for such low cost. Good for those who don't like in-ear silicone earphones.","It's nice overall mainly because of the low price. It has pressable button towards the outer part by pressing which one can receive/reject call, play/pause music. The bass is not upto the mark. Call quality is nice. But what else you need for such low cost. Good for those who don't like in-ear silicone earphones. Fabulous!",55,BoAt
ACCFSKBJYWZKXGCP,U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5.0,Mind-blowing purchase,Simply good product..... ❤,Simply good product..... ❤ Mind-blowing purchase,4,U&I
ACCFVWN4PGNTEFGY,realme Buds Q Bluetooth Headset,5.0,Best in the market!,Mind blowing purchaseIt's bass is very good & battery backup is super then only one disappointed in this that's when using to talk it didn't respond correctly and it's automatically it off,Mind blowing purchaseIt's bass is very good & battery backup is super then only one disappointed in this that's when using to talk it didn't respond correctly and it's automatically it off Best in the market!,32,realme
ACCFVWN4PGNTEFGY,realme Buds Q Bluetooth Headset,5.0,Fabulous!,Osm product,Osm product Fabulous!,2,realme
ACCFVA3KZ2EYMYX3,OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,5.0,Super!,Amazing productSound quality super se upper 💓Battery backup A1,Amazing productSound quality super se upper 💓Battery backup A1 Super!,9,OnePlus
ACCFVWN4PGNTEFGY,realme Buds Q Bluetooth Headset,1.0,Don't waste your money,First few days it works well...then after ...the case and earpods didnt charge ...,First few days it works well...then after ...the case and earpods didnt charge ... Don't waste your money,14,realme
ACCFSDGXX3S6DVBG,BoAt Airdopes 131 Bluetooth Headset,4.0,Nice product,"Very good option at this pricePros: Build quality, clear sound, Lightweight, branded product at low price, perfect fitting, insta wake up technology Good bass and sound(by using other music players mentioned below) Cons: Low bass which can control by other music players like Google play music, Dub music player or third party equaliser app. You will get perfect sound by playing music on this players.","Very good option at this pricePros: Build quality, clear sound, Lightweight, branded product at low price, perfect fitting, insta wake up technology Good bass and sound(by using other music players mentioned below) Cons: Low bass which can control by other music players like Google play music, Dub music player or third party equaliser app. You will get perfect sound by playing music on this players. Nice product",65,BoAt
ACCFR3Q77R6RRGAC,OnePlus Bullets Wireless Z Bluetooth Headset,4.0,Pretty good,"By now u have seen 100's of review by now ... Everything u have read is true ... 5/5 in all but not in bass... If u havnt brought and u r a base head pls look for different headset but like me if u r stuck with this there is A FIX TO BASS.... SIMPLY CHANGE THE EAR TIP TO LARGER SIZE ... It improves the bass significantly at the cost of slight discomfort .... It works .. trust me Pls upvote this comment , So more people can improve the bass","By now u have seen 100's of review by now ... Everything u have read is true ... 5/5 in all but not in bass... If u havnt brought and u r a base head pls look for different headset but like me if u r stuck with this there is A FIX TO BASS.... SIMPLY CHANGE THE EAR TIP TO LARGER SIZE ... It improves the bass significantly at the cost of slight discomfort .... It works .. trust me Pls upvote this comment , So more people can improve the bass Pretty good",93,OnePlus
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5.0,Super!,Awesome I think I have made a good choice especially as I travel to work so this will be my good partner..😉,Awesome I think I have made a good choice especially as I travel to work so this will be my good partner..😉 Super!,22,realme
ACCFVA3KZ2EYMYX3,OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,5.0,Super!,Very nice product with amazing battery back up and deep bass.. Awsome sound clarity.it is very flexible  Length of wire is little low.,Very nice product with amazing battery back up and deep bass.. Awsome sound clarity.it is very flexible  Length of wire is little low. Super!,23,OnePlus
ACCFR3Q77R6RRGAC,OnePlus Bullets Wireless Z Bluetooth Headset,5.0,Terrific purchase,"first of all with mi 18 watt charger,it got full charged in 20mins.that was amazing and 16-18hrs playtime is best at this price range.I searched for a wireless earphone and bought many but finally settled with this.sound quality is good but build quality is premium.overall i would say it is the best earphone to go with and I guarantee you will not regret.drop like if you find it useful.","first of all with mi 18 watt charger,it got full charged in 20mins.that was amazing and 16-18hrs playtime is best at this price range.I searched for a wireless earphone and bought many but finally settled with this.sound quality is good but build quality is premium.overall i would say it is the best earphone to go with and I guarantee you will not regret.drop like if you find it useful. Terrific purchase",69,OnePlus
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,3.0,Nice,"The sound and bass are really good. Bass is really powerful. After 2 weeks of use the pin end is somewhat broken from the inside. Seems wont last for more than 1-2 months at most. But all the other parts looks better built. I have very rough use and i keep my headset in a pouch. Not worth 600, flipkart smartbuy headphones are better but not much rich in sound like this one.","The sound and bass are really good. Bass is really powerful. After 2 weeks of use the pin end is somewhat broken from the inside. Seems wont last for more than 1-2 months at most. But all the other parts looks better built. I have very rough use and i keep my headset in a pouch. Not worth 600, flipkart smartbuy headphones are better but not much rich in sound like this one. Nice",73,realme
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5.0,Awesome,The boat 235v2 is really good it's sounds very clear and also good bass. If you think buy a Bluetooth headset go for It. Just sounds and battery backup is awesome.,The boat 235v2 is really good it's sounds very clear and also good bass. If you think buy a Bluetooth headset go for It. Just sounds and battery backup is awesome. Awesome,31,BoAt
ACCEVQZABYWJHRHF,BoAt BassHeads 100 Wired Headset,5.0,Excellent,"very good sound value of money . Best in the market, can't get so good earplugs in this money","very good sound value of money . Best in the market, can't get so good earplugs in this money Excellent",19,BoAt
ACCFR3Q77R6RRGAC,OnePlus Bullets Wireless Z Bluetooth Headset,5.0,Simply awesome,"It's definitely worth. But it's not a basshead earphones, I've seen some reviews saying it's got such an amount of base but in reality it's a balanced headphones adequate amount of bass nothing much more.This one plus sounds good when it comes to overall sound quality, it's all balanced Product quality is superb at this price range you can't complainMagnetic on/off is very helpful in saving battery life and convenient too, you don't have to switch it off and on, just detach it and it in...","It's definitely worth. But it's not a basshead earphones, I've seen some reviews saying it's got such an amount of base but in reality it's a balanced headphones adequate amount of bass nothing much more.This one plus sounds good when it comes to overall sound quality, it's all balanced Product quality is superb at this price range you can't complainMagnetic on/off is very helpful in saving battery life and convenient too, you don't have to switch it off and on, just detach it and it in... Simply awesome",86,OnePlus
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5.0,Best in the market!,"This is the best for daily use. It feels like nothing when in the ear and it's easy to keep organised, thanks to the magnets and organizer. It also has two extra buds one small and large which you can use according to your preference. It also has a tangle free wire. And Flipkart packing and delivery is always the best. No doubt about that.","This is the best for daily use. It feels like nothing when in the ear and it's easy to keep organised, thanks to the magnets and organizer. It also has two extra buds one small and large which you can use according to your preference. It also has a tangle free wire. And Flipkart packing and delivery is always the best. No doubt about that. Best in the market!",65,realme
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5.0,Worth every penny,Lovely colour and premium looking and connectivity is awesome and impressive better than 3k-4k rs headphones    Trust without and double thought go for it,Lovely colour and premium looking and connectivity is awesome and impressive better than 3k-4k rs headphones    Trust without and double thought go for it Worth every penny,24,realme
ACCFSDGXX3S6DVBG,BoAt Airdopes 131 Bluetooth Headset,4.0,Worth the money,Bass is not upto the mark. Sound quality is excellent. Cryastal clear sound. Boat should improve the bass quality in this airdopes. Boats other headphones having best bass .overall it's good and value for money.,Bass is not upto the mark. Sound quality is excellent. Cryastal clear sound. Boat should improve the bass quality in this airdopes. Boats other headphones having best bass .overall it's good and value for money. Worth the money,35,BoAt
ACCFVWN4PGNTEFGY,realme Buds Q Bluetooth Headset,5.0,Just wow!,Sound Quality 10/10Design 10/10Light Weight 10/10Battery Backup 10/10Build Quality 7/10Latency 9/10,Sound Quality 10/10Design 10/10Light Weight 10/10Battery Backup 10/10Build Quality 7/10Latency 9/10 Just wow!,11,realme
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5.0,Simply awesome,It's a very good product ... I'm so happy with this BCz its bass quality & sounds is too good & batry back up Also super,It's a very good product ... I'm so happy with this BCz its bass quality & sounds is too good & batry back up Also super Simply awesome,26,BoAt
ACCFVA3KZ2EYMYX3,OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,3.0,Just okay,Product is good but as the name says baas edition it has not such a good bass but its decent sound quality is good but bass is not so satisfying,Product is good but as the name says baas edition it has not such a good bass but its decent sound quality is good but bass is not so satisfying Just okay,30,OnePlus
ACCFSKBJYWZKXGCP,U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,2.0,Could be way better,"After 1day of use I am writing this reviewBuild quality 3/5 (the wires to the speakers are very thin. Not durable)Sound 5/5 (it's very loud)Bass 4/5 ( It's just okay type) Backup 5/5( this is something commendable. I have turned it on yesterday at 4:30 pm. Now today it's 11:52pm, it's charging for the 1st time. I have used it for almost 14-15 hours including 5-6 hours of calling. Even yesterday night I forgot to turn it off so it was powered on for whole night)I shall update from time t...","After 1day of use I am writing this reviewBuild quality 3/5 (the wires to the speakers are very thin. Not durable)Sound 5/5 (it's very loud)Bass 4/5 ( It's just okay type) Backup 5/5( this is something commendable. I have turned it on yesterday at 4:30 pm. Now today it's 11:52pm, it's charging for the 1st time. I have used it for almost 14-15 hours including 5-6 hours of calling. Even yesterday night I forgot to turn it off so it was powered on for whole night)I shall update from time t... Could be way better",91,U&I
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4.0,Really Nice,Excellent voice clarity superb bass for music lovers. Overall a very good product.,Excellent voice clarity superb bass for music lovers. Overall a very good product. Really Nice,13,BoAt
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,5.0,Terrific purchase,"For the first time, I am posting a review, just because the product compelled me to do so. Icouldn't find a single aspect missed or mis-handled by Boat. Well this is called, quality engineering. Well, some people say Boat enhances bass and thus compensates with clarity, but I would give my neutral and true feedbackBass : 10/10Clarity : 9/10Comfort ease n looks : 15/10Features :10/10The best buy from flipkart yet..","For the first time, I am posting a review, just because the product compelled me to do so. Icouldn't find a single aspect missed or mis-handled by Boat. Well this is called, quality engineering. Well, some people say Boat enhances bass and thus compensates with clarity, but I would give my neutral and true feedbackBass : 10/10Clarity : 9/10Comfort ease n looks : 15/10Features :10/10The best buy from flipkart yet.. Terrific purchase",70,BoAt
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,4.0,Pretty good,Awesome colour! Amazing experience .. but only the charging data cable is not of good quality and adjustable clip is not so tight.,Awesome colour! Amazing experience .. but only the charging data cable is not of good quality and adjustable clip is not so tight. Pretty good,23,BoAt
ACCFR3Q77R6RRGAC,OnePlus Bullets Wireless Z Bluetooth Headset,5.0,Best in the market!,"Superb quality 👌 bass abd sound quality are also very fine... From my personal review, I like it low latency. Best for pubg and other games.","Superb quality 👌 bass abd sound quality are also very fine... From my personal review, I like it low latency. Best for pubg and other games. Best in the market!",26,OnePlus
ACCFR3Q77R6RRGAC,OnePlus Bullets Wireless Z Bluetooth Headset,5.0,Highly recommended,"😇No more tangles n dangling!! Loved it! Sweetest thing about this is, we can do our works FREELY or even go washroom with music on us..🤣 I would say, Go for it👉 feel that energy!Well packed, class look And of course, the sound quality is GreAttt!!🤩 (I admit I'm a bit excited)And thanks to Flipkart for a quick n safe delivery 🤗","😇No more tangles n dangling!! Loved it! Sweetest thing about this is, we can do our works FREELY or even go washroom with music on us..🤣 I would say, Go for it👉 feel that energy!Well packed, class look And of course, the sound quality is GreAttt!!🤩 (I admit I'm a bit excited)And thanks to Flipkart for a quick n safe delivery 🤗 Highly recommended",62,OnePlus
ACCFHGZFS7GB9CVM,realme Buds Wireless Bluetooth Headset,5.0,Classy product,I would like to thank Flipkart  for delivered this product with in time ... It's really amazing .. nice battery backup and inbuilt quality... But you need to improve bass quality .. thankyou ..,I would like to thank Flipkart  for delivered this product with in time ... It's really amazing .. nice battery backup and inbuilt quality... But you need to improve bass quality .. thankyou .. Classy product,34,realme
ACCFSKBJYWZKXGCP,U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5.0,Perfect product!,I am very happy with this product. The U&I Titanic series sports neckband is just awesome. The sound and bass is too good. It has also very good battery life and I haven't charged it since 3 days and more to go. It is comfortable to wear and has perfect sound quality. I had an excellent experience of this neckband. It is also economical. A must buy for all.,I am very happy with this product. The U&I Titanic series sports neckband is just awesome. The sound and bass is too good. It has also very good battery life and I haven't charged it since 3 days and more to go. It is comfortable to wear and has perfect sound quality. I had an excellent experience of this neckband. It is also economical. A must buy for all. Perfect product!,69,U&I
ACCFVA3KZ2EYMYX3,OnePlus Bullets Wireless Z Bass Edition Bluetooth Headset,5.0,Super!,"Now from my experience, I searched for a lot of earphones and saw each and every one... What I found was this bass edition is better than most other wireless earphones though some reviews said that build quality is not good.. what I feel is.. sound quality, bass ... Very good! Very happy about it.. Connectivity is top notch... Easy to wear... No any ear pain during long hours of usage.. But battery back up... Its been 5 days now.. I have charged it only 2 twice.. 10 mins full 100%... Wow! One...","Now from my experience, I searched for a lot of earphones and saw each and every one... What I found was this bass edition is better than most other wireless earphones though some reviews said that build quality is not good.. what I feel is.. sound quality, bass ... Very good! Very happy about it.. Connectivity is top notch... Easy to wear... No any ear pain during long hours of usage.. But battery back up... Its been 5 days now.. I have charged it only 2 twice.. 10 mins full 100%... Wow! One... Super!",93,OnePlus
ACCFSDGXX3S6DVBG,BoAt Airdopes 131 Bluetooth Headset,5.0,Highly recommended,"The best in class airdopes. Great sound, perfect fit and at this price it's just awesome. Highly recommended.The only issue is that Boat has mentioned additional earmuffs with the package but it is not available in the box or it is missing.","The best in class airdopes. Great sound, perfect fit and at this price it's just awesome. Highly recommended.The only issue is that Boat has mentioned additional earmuffs with the package but it is not available in the box or it is missing. Highly recommended",42,BoAt
ACCFZGAQJGYCYDCM,BoAt Rockerz 235v2 with ASAP charging Version 5.0 Bluetooth Headset,3.0,Nice,"A fine product i would say , well crafted design and good build quality ..  good fit and comfortable to wear ... enough bass to provide u good sound experience .. although not the most premium quality but still considering the price it's well ahead of it .. manages lows and highs well, sound mixing and good listening experience when it comes to music video and others ..the only CON i noticed was the microphone .. i think this device is not built for calling ... sometimes the voice is not eve...","A fine product i would say , well crafted design and good build quality ..  good fit and comfortable to wear ... enough bass to provide u good sound experience .. although not the most premium quality but still considering the price it's well ahead of it .. manages lows and highs well, sound mixing and good listening experience when it comes to music video and others ..the only CON i noticed was the microphone .. i think this device is not built for calling ... sometimes the voice is not eve... Nice",92,BoAt
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5.0,Great product,"Sound quality is really good... Better than boat bass 200,225.. i have used many earphones like JBL , Skullcandy,boat,bout,leaf,bose,sony etc.. but i fell this is also good as leaf bolt ...  I love it😍..","Sound quality is really good... Better than boat bass 200,225.. i have used many earphones like JBL , Skullcandy,boat,bout,leaf,bose,sony etc.. but i fell this is also good as leaf bolt ...  I love it😍.. Great product",34,realme
ACCFVWN4PGNTEFGY,realme Buds Q Bluetooth Headset,5.0,Mind-blowing purchase,Awesome sound and bass. Love this product.,Awesome sound and bass. Love this product. Mind-blowing purchase,7,realme
ACCFVWN4PGNTEFGY,realme Buds Q Bluetooth Headset,1.0,Not recommended at all,Don't buy this ! Doesn't catch our voice while driving ! Waste of money and also no return policy,Don't buy this ! Doesn't catch our voice while driving ! Waste of money and also no return policy Not recommended at all,19,realme
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5.0,Classy product,The Sound quality is superb and the base quality is also good ..The point thing which I liked in this earphone is that its durability ..the wire quality is good ..before I was using the sennheiser cx275 ..the wire got cut from middle ..I am happy with this earphones.,The Sound quality is superb and the base quality is also good ..The point thing which I liked in this earphone is that its durability ..the wire quality is good ..before I was using the sennheiser cx275 ..the wire got cut from middle ..I am happy with this earphones. Classy product,49,realme
ACCFSKBJYWZKXGCP,U&I Titanic Series - Low Price Bluetooth Neckband Bluetooth Headset,5.0,Worth every penny,Nice product ...❤️❤️ Nice sound.❤️💰Nice bass quality.❤️❤️.  And good battery backup.❤️❤️     This had phone value for money..And .... good parking ...i am so happy ...    And thanks for flipkart...❤️❤️❤️❤️,Nice product ...❤️❤️ Nice sound.❤️💰Nice bass quality.❤️❤️.  And good battery backup.❤️❤️     This had phone value for money..And .... good parking ...i am so happy ...    And thanks for flipkart...❤️❤️❤️❤️ Worth every penny,29,U&I
ACCFR3Q77R6RRGAC,OnePlus Bullets Wireless Z Bluetooth Headset,4.0,Pretty good,Everything think is good but bass is low But after updating my OnePlus device The wireless z  earphone sounds better than priviousBecause it's got support Of Dolby Atmos soundsOver all best for OnePlus device s,Everything think is good but bass is low But after updating my OnePlus device The wireless z  earphone sounds better than priviousBecause it's got support Of Dolby Atmos soundsOver all best for OnePlus device s Pretty good,35,OnePlus
ACCFR3Q77R6RRGAC,OnePlus Bullets Wireless Z Bluetooth Headset,1.0,No BASS at all!! Not for music,"I'm fan for Oneplus since their first product. I have bought the series of products along their launch. Very first product from oneplus which did not meet my expectations is 'oneplus bullets wireless-z bluetooth headset'. It has no BASS effect at all!!! if you are buying for listening music and music lover, better to avoid. However, call quality, voice clarity  and battery backup are at its best. One of the best headset to consider for day to day usage.","I'm fan for Oneplus since their first product. I have bought the series of products along their launch. Very first product from oneplus which did not meet my expectations is 'oneplus bullets wireless-z bluetooth headset'. It has no BASS effect at all!!! if you are buying for listening music and music lover, better to avoid. However, call quality, voice clarity  and battery backup are at its best. One of the best headset to consider for day to day usage. No BASS at all!! Not for music",79,OnePlus
ACCFSDGXX3S6DVBG,BoAt Airdopes 131 Bluetooth Headset,5.0,Excellent,"I never bought any kind of Bluetooth pairs, this was my first purchase and I can say this was the best purchase at this segment. The quality of the product and music is outstanding and I never expected that to in this price. Thank you, Flipkart for the express delivery which you offered.","I never bought any kind of Bluetooth pairs, this was my first purchase and I can say this was the best purchase at this segment. The quality of the product and music is outstanding and I never expected that to in this price. Thank you, Flipkart for the express delivery which you offered. Excellent",53,BoAt
ACCFVWN4PGNTEFGY,realme Buds Q Bluetooth Headset,5.0,Classy product,Bass is not that much good . But the quality of vocals and loudness is absolutely fabulous .Although i face some connectivity problems with the left bud sometimes but overall a good purchase .pretty much much happy with my decision,Bass is not that much good . But the quality of vocals and loudness is absolutely fabulous .Although i face some connectivity problems with the left bud sometimes but overall a good purchase .pretty much much happy with my decision Classy product,40,realme
ACCEVQZABYWJHRHF,BoAt BassHeads 100 Wired Headset,4.0,Nice product,"Very good clarity, bass is also very good. I have previously used boat 225, compared to that , product is very light and prefectly fits in ear. Bass is slightly lesser than 225, clarity is very good somewhat better than 225, can hear every beat, microphone is also very good.Download a decent equalizer and you are all set.Last but not least ,awesome delivery by flipkart.","Very good clarity, bass is also very good. I have previously used boat 225, compared to that , product is very light and prefectly fits in ear. Bass is slightly lesser than 225, clarity is very good somewhat better than 225, can hear every beat, microphone is also very good.Download a decent equalizer and you are all set.Last but not least ,awesome delivery by flipkart. Nice product",65,BoAt
ACCFKYE2ARGG67WC,realme Buds 2 Wired Headset,5.0,Worth every penny,"I bought its because of their build quality, the sound quality is moderate. But they produce too much bass and lite and comfortable as you wear nothing. They are lite and well fitted in my ears with default buds.To conclude this might be the best pair of earphones you can get under Rs. 600. If your priorities are that the wire lasts long as it's don't get twitch easily. Don't think too much, just buy it. You will not regret it.v.","I bought its because of their build quality, the sound quality is moderate. But they produce too much bass and lite and comfortable as you wear nothing. They are lite and well fitted in my ears with default buds.To conclude this might be the best pair of earphones you can get under Rs. 600. If your priorities are that the wire lasts long as it's don't get twitch easily. Don't think too much, just buy it. You will not regret it.v. Worth every penny",81,realme
